source_url;anchor;target_url;page_ascore;nofollow;first_seen;last_seen
https://www.nfa.co.uk/fostering-solutions/;;https://www.nationalfosteringgroup.co.uk/fostering-solutions/;70;false;1784207666;1784207666
https://mjnotinnocent.net/blog/b/p17/wade-robson-cirque-du-soleil;Trauma bond and how it can affect children and young people;https://www.nationalfosteringgroup.co.uk/news-and-blog/what-is-a-trauma-bond-and-how-can-it-affect-children-and-young-people/;56;true;1773812052;1781085257
https://careers.nfa.co.uk/;;https://www.nationalfosteringgroup.co.uk/careers/;53;false;1786575629;1787996962
https://www.nfa.co.uk/jay-fostering/office/leicester/;;https://www.nationalfosteringgroup.co.uk/jay-fostering/;48;false;1784546485;1784546485
https://nfa.co.uk/;;https://www.nationalfosteringgroup.co.uk/;46;false;1770859794;1789751136
https://morisova.blogspot.com/;nfa.co.uk;https://www.nationalfosteringgroup.co.uk/;43;true;1770906460;1773041131
https://www.nfa.co.uk/national-fostering-agency/office/wales/;;https://www.nationalfosteringgroup.co.uk/national-fostering-agency/wales/;42;false;1789933944;1789933944
https://www.nfa.co.uk/national-fostering-agency/office/midlands/;;https://www.nationalfosteringgroup.co.uk/national-fostering-agency/midlands/;37;false;1770422156;1776973119
https://movil-13-11-2021.blogspot.com/;nfa.co.uk;https://www.nationalfosteringgroup.co.uk/;34;true;1772250026;1789910853
https://olspsystem.blogspot.com/;nfa.co.uk;https://www.nationalfosteringgroup.co.uk/;34;true;1772484280;1790022525
https://www.bbc.com/news/articles/cevppmvnv32o;National Fostering Group;https://www.nationalfosteringgroup.co.uk/;34;false;1780038715;1787172394
https://odicdsfe.blogspot.com/;nfa.co.uk;https://www.nationalfosteringgroup.co.uk/;33;true;1772385604;1789936634
https://novaland-oceanresidence.blogspot.com/;nfa.co.uk;https://www.nationalfosteringgroup.co.uk/;29;true;1772255699;1790064431
https://www.nfa.co.uk/story/story_category/10-common-childhood-accidents-and-how-to-avoid-them-in-your-home/;;https://www.nationalfosteringgroup.co.uk/news-and-blog/10-common-childhood-accidents-and-how-to-avoid-them-in-your-home/;27;false;1777961075;1782476764
https://www.theguardian.com/commentisfree/2024/apr/29/fostering-millennial-kiri-pritchard-mclean-britain-carers-schoolfriend-comedy;respite care;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;25;false;1780341358;1786742753
https://groups.google.com/g/Records_in_Contexts_users/c/kF-C91bwKfQ;National Fostering Group UK;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/should-i-foster-or-adopt/;23;true;1789414567;1789414567
https://podcasts.apple.com/us/podcast/voices-of-fostering/id1672294595;Voices of Fostering;http://www.nationalfosteringgroup.co.uk/;22;false;1778461823;1787520929
https://uk.indeed.com/cmp/National-Fostering-Group;National Fostering Group website;https://www.nationalfosteringgroup.co.uk/careers/;22;true;1787754505;1789503130
https://www.nfa.co.uk/national-fostering-agency/office/north/;;https://www.nationalfosteringgroup.co.uk/national-fostering-agency/north/;22;false;1774122835;1777433198
https://www.nfa.co.uk/story/story_category/1-in-3-people-believe-if-you-live-in-rented-accommodation-you-cant-foster/;;https://www.nationalfosteringgroup.co.uk/news-and-blog/;22;false;1778502088;1778502088
https://www.nfa.co.uk/family-placement/;;https://www.nationalfosteringgroup.co.uk/family-placement/;21;false;1786659008;1786659008
https://www.nfa.co.uk/pathway-care/;;https://www.nationalfosteringgroup.co.uk/pathway-care/;21;false;1782480701;1787344368
https://www.nfa.co.uk/story/story_category/fostering-positive-mental-health-well-being-in-children-young-people/;;https://www.nationalfosteringgroup.co.uk/news-and-blog/;21;false;1776500495;1783856175
https://www.nfa.co.uk/thinking-about-fostering/types-of-foster-care/;;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/;21;false;1771996709;1785239671
https://www.internetmatters.org/pl/inclusive-digital-safety/advice-for-parents-and-carers/supporting-children-in-care/connecting-and-sharing-online/;ODWIEDŹ STRONĘ;https://www.nationalfosteringgroup.co.uk/;20;false;1781974230;1783439847
https://karriehiggins.substack.com/p/the-strange-flowers-or-the-essay;traumatic bonding with my brother;https://www.nationalfosteringgroup.co.uk/news-and-blog/what-is-a-trauma-bond-and-how-can-it-affect-children-and-young-people/;19;false;1773406992;1788865037
https://www.nfa.co.uk/fostering-solutions/office/fostering-solutions-north-west/;;https://www.nationalfosteringgroup.co.uk/fostering-solutions/north-west/;19;false;1783881102;1783881102
https://tweakers.net/geek/249232/thuisservers-laptopprijzen-en-avg-jubilea-tweakers-podcast-431.html;Secure base;https://www.nationalfosteringgroup.co.uk/news-and-blog/using-the-secure-base-model-to-be-your-best-foster-parent/;18;true;1784207575;1788729432
https://www.goodhousekeeping.com/uk/lifestyle/a69618365/empty-nest-fostering/;National Fostering Group;https://www.nationalfosteringgroup.co.uk/;18;true;1774599690;1789275708
https://www.nfa.co.uk/thinking-about-fostering/types-of-foster-care/respite-foster-care/;;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;18;false;1775073196;1781827002
