domain,domain_rating,traffic_domain,positions_source_domain,links_to_target,dofollow_links,is_spam,ip_source,first_seen,last_seen
advanced-keyword-group-seoexpress.store,32.0,0,0,1,0,True,104.21.31.188,2026-06-02T06:50:21Z,
advanced-link-building-group-seoexpress.store,32.0,0,0,1,0,True,172.67.192.186,2026-05-31T13:11:49Z,
advanced-ranking-seoexpress-specialists.store,32.0,0,0,1,0,True,172.67.213.21,2026-05-20T20:15:10Z,
advanced-saas-seo-directory-outrank-hq.store,32.0,0,0,1,0,True,172.67.214.241,2026-06-24T11:14:22Z,
advanced-search-seoexpress-pros.store,32.0,0,0,1,0,True,104.21.32.221,2026-05-19T20:48:01Z,
advanced-traffic-surge-and-keyword-rank-bureau.store,32.0,0,0,1,0,True,172.67.165.59,2026-07-21T19:35:38Z,
advantagesofomega3fattyacid.com,0.0,0,0,2,2,False,104.21.15.209,2026-07-31T04:56:55Z,
adventurerz.com,28.0,63,2,3,0,False,172.67.173.49,2022-07-10T12:51:30Z,
adverr.best,0.0,0,0,106,0,False,104.21.40.8,2023-07-09T01:42:08Z,2024-01-28T10:38:25Z
advertisingweek.com,79.0,13289,3884,1,1,False,162.159.134.42,2026-08-05T19:47:23Z,
advisoryexcellence.com,54.0,1853,588,1,1,False,35.214.118.55,2026-06-15T12:41:35Z,
advocacyforneurorights.org,2.9,0,0,4,4,False,192.0.78.137,2026-04-02T13:29:37Z,
aferg.co,1.9,0,0,2,2,True,52.72.49.79,2026-04-17T14:36:30Z,
affiliatblogger.com,54.0,0,0,2,2,True,104.21.86.50,2026-03-05T10:52:31Z,
affiliatedataset.com,0.0,1,1,2,2,False,172.67.220.93,2026-08-02T00:29:42Z,
affiliateshub.co.za,0.4,0,0,4,4,True,102.212.247.163,2026-05-23T08:45:40Z,
affililist.com,18.0,749,263,2,2,False,104.21.38.76,2026-05-23T01:41:06Z,
affilitizer.com,37.0,336,274,2,2,False,104.26.9.161,2026-08-24T19:07:04Z,
affsyn.com,0.8,0,1,2,2,False,46.202.196.75,2024-08-13T17:56:36Z,
afundirectory.com,30.0,0,0,4,4,True,172.67.130.29,2025-12-09T10:39:58Z,
ageeksblog.com,43.0,0,0,13,13,True,104.21.83.197,2026-07-07T05:20:46Z,
agelessstride.com,3.7,0,0,11,11,False,208.123.116.145,2026-05-01T10:56:04Z,
agendacover.com,51.0,1755,6,1,1,False,172.67.138.207,2024-09-24T14:42:50Z,
agile-footer-link-system-link-baron.store,32.0,0,0,1,0,True,172.67.219.83,2026-06-19T16:18:17Z,
aglocodirectory.com,25.0,0,0,4,4,True,172.67.168.244,2025-12-09T09:58:30Z,
agnell.pics,0.0,0,0,163,0,False,172.67.129.3,2023-07-01T23:06:18Z,2023-12-08T09:04:17Z
agroinsursas.com,13.0,0,0,2,0,True,190.8.176.51,2026-05-31T02:39:15Z,
ahealthplace.com,10.0,0,0,1,1,False,74.208.236.184,2023-02-06T15:14:00Z,
ahrefs-links.com,11.0,0,0,2,2,False,167.86.98.5,2025-09-29T11:12:09Z,
aihcp.net,56.0,9540,2202,6,6,False,198.46.86.124,2026-03-13T01:47:42Z,
aiinsights.app,0.0,0,0,1,1,False,216.198.79.65,2026-03-04T15:52:38Z,
aiinvestorpicks.com,0.2,0,0,1,0,False,195.200.9.77,2026-02-23T01:52:05Z,
airduct-repair-support-line.xyz,0.0,0,0,2,2,False,104.21.8.66,2026-02-27T12:15:25Z,
airecu.pics,0.0,0,0,511,0,False,172.67.175.171,2023-07-12T06:09:58Z,2025-06-24T14:00:34Z
ajax-directory.com,29.0,0,0,2,2,True,104.21.43.185,2025-12-19T22:35:22Z,
akfit.ir,1.1,29,15,1,1,False,89.39.208.53,2026-06-01T04:19:34Z,
alexfergus.com,43.0,838,177,6,6,False,172.66.40.165,2020-04-01T00:21:25Z,
algolinkers.com,3.6,0,0,3,0,False,172.67.178.209,2025-12-16T02:14:32Z,
alizyme.com,6.0,0,0,24,9,True,195.250.26.52,2023-09-30T12:43:58Z,
alkjnaa.info,0.0,0,0,1,1,True,172.67.145.161,2026-02-27T14:06:59Z,
all4dell.sk,0.0,0,0,2,2,False,195.181.248.52,2026-05-07T10:57:38Z,
allaboutpeoples.com,3.0,0,0,1,1,False,172.67.156.156,2024-10-04T05:01:35Z,
allandabout.com,9.0,39,20,2,2,False,142.93.72.2,2025-03-29T08:43:23Z,
allare.io,18.0,0,0,6,0,True,104.21.47.243,2026-05-25T17:00:18Z,
allbaclinks.com,8.0,0,0,1,0,True,203.161.54.114,2026-08-22T15:23:59Z,
allcoupons.org,2.3,0,0,80,4,False,188.114.97.3,2020-01-18T04:04:06Z,2022-07-25T14:38:09Z
allebewertungen.de,0.2,35,29,1,1,False,87.233.202.181,2023-06-05T04:44:07Z,
allgoodhealth.net,20.0,0,0,496,496,False,104.21.89.33,2025-02-09T14:19:18Z,
allinone.co.in,7.0,0,0,6,0,True,92.249.46.138,2026-05-12T15:53:35Z,
allistingdirectory.com,5.0,0,0,2,2,True,213.199.63.182,2025-10-09T19:31:50Z,
alljobs.info,9.0,0,0,8,8,True,118.139.176.46,2026-05-13T03:25:57Z,
alltdesign.com,52.0,0,0,17,17,True,104.21.52.220,2026-05-02T02:10:10Z,
allwebsitesdirectory.com,7.0,0,0,1,1,True,184.168.115.60,2026-05-13T00:36:44Z,
almashhad.com,51.0,131855,17911,2,2,False,52.84.118.88,2026-01-08T12:11:44Z,
alpana.co.in,3.3,0,1,3,0,False,184.168.116.137,2025-06-02T21:01:29Z,
alpha-local-seo-group-rank-forge.store,32.0,0,0,1,0,True,172.67.135.55,2026-06-16T19:27:53Z,
alphapowershop.online,0.0,0,0,2,2,True,185.158.133.1,2026-05-22T18:26:53Z,
altgng.com,0.0,0,0,1,1,False,68.183.143.60,2026-08-24T14:34:02Z,
altheaprovence.com,63.0,4582,1192,1,0,False,185.246.47.134,2022-02-08T19:30:36Z,
alwaha.ly,5.0,0,0,2,0,True,102.213.180.2,2026-06-06T03:31:22Z,
amberstudent.com,70.0,114187,19153,1,1,False,108.156.46.112,2026-03-04T17:23:51Z,
ambien-blog.com,51.0,0,0,4,4,False,172.67.168.182,2026-06-28T03:09:59Z,
americanspcc.org,69.0,10458,1271,1,1,False,167.71.93.177,2024-12-10T21:47:15Z,
americanstartups.com,4.3,0,1,3,3,False,172.67.195.147,2023-10-07T20:20:46Z,
americasmall.com,0.0,14,13,2,0,False,35.215.99.239,2026-06-29T02:18:45Z,
amoblog.com,49.0,0,0,18,18,True,104.21.64.44,2026-05-13T18:20:39Z,
ampblogs.com,59.0,0,0,6,6,False,104.21.68.35,2025-10-17T20:24:32Z,
ampedpages.com,54.0,0,0,34,34,False,172.67.200.110,2026-05-22T17:08:52Z,
ampliz.com,58.0,5539,4487,1,1,False,172.67.221.143,2025-01-07T03:09:28Z,
anabolicsteroidforums.com,55.0,3421,1030,1,0,False,143.202.160.72,2024-06-12T20:09:14Z,
analyticshaven.top,39.0,0,0,6,0,True,195.20.19.178,2026-02-19T20:38:51Z,
anchor-text-link-juice-and-high-da-depot.store,32.0,0,0,1,0,True,172.67.144.131,2026-07-16T00:57:29Z,
andmax.fr,10.0,0,0,1,0,False,62.210.16.61,2026-05-16T12:16:05Z,
anganwadi.in,3.3,0,0,3,0,True,184.168.115.25,2026-03-24T22:08:52Z,
angelinsblog.com,44.0,0,0,8,8,True,104.21.14.2,2025-10-19T10:34:09Z,
angelovertti.com.br,10.0,29,7,1,1,True,186.202.153.4,2025-09-29T16:06:54Z,
angrylionfitness.com,4.2,0,0,1,1,False,50.6.248.22,2025-12-18T21:32:55Z,
anjana.co.in,7.0,0,0,3,0,False,68.178.236.247,2022-12-17T16:07:41Z,
anoodlife.com,2.0,0,0,1,1,True,72.61.234.81,2022-08-28T12:33:07Z,
anosce.best,2.7,0,0,465,0,False,172.67.182.94,2023-07-12T20:43:56Z,2025-05-10T03:49:22Z
anruibio.com,0.1,0,0,132,132,False,37.44.245.192,2025-08-15T14:50:48Z,
answerblogs.com,44.0,0,0,6,6,True,104.21.79.131,2026-07-19T19:01:20Z,
answeregy.com,8.0,0,0,116,0,True,172.67.183.173,2022-01-25T00:20:21Z,2022-06-22T08:40:46Z
anythinggoes.online,0.0,0,0,4,0,False,108.160.146.92,2025-08-05T18:23:25Z,
anytimefitness.com,77.0,1187142,52125,2,2,False,45.60.14.62,2025-06-29T09:28:34Z,
aol.co.uk,87.0,782013,8208,1,0,False,87.248.114.11,2024-08-11T02:22:10Z,
aol.com,91.0,8299792,171156,2,0,False,87.248.114.12,2025-12-09T15:53:07Z,
apartstyle.com,26.0,4246,1645,2,0,False,216.150.16.65,2025-11-27T22:38:56Z,
apexelements.monster,0.0,0,0,3,2,False,104.21.86.40,2026-07-01T11:41:27Z,
apexelements.site,0.0,0,0,3,2,True,104.21.20.66,2026-06-17T09:11:17Z,
apollotechnical.com,79.0,1839,784,1,1,False,104.17.145.110,2026-01-12T23:10:52Z,
appsrankings.com,26.0,830,168,116312,0,False,172.67.69.70,2026-04-28T15:17:08Z,
apteka911.ua,64.0,1788586,131517,2,2,False,65.21.216.233,2022-07-30T01:30:28Z,
apygis.pics,2.6,0,0,126,0,False,188.114.96.2,2023-06-09T09:42:12Z,2024-02-14T07:49:53Z
aquafit-en.com,0.1,0,0,1,1,False,172.67.165.21,2025-12-30T23:52:38Z,
arcade-directory.com,25.0,0,0,4,4,True,104.21.55.211,2025-12-14T09:58:07Z,
archive-hu.com,2.0,0,0,6,6,True,104.21.38.108,2026-08-13T13:41:41Z,
archivemarketresearch.com,66.0,11,10,1,1,False,104.26.6.150,2025-04-18T13:23:31Z,
arlinkdirectory.com,26.0,0,0,4,4,True,104.21.0.234,2025-12-12T02:31:02Z,
armfighter.com,30.0,220,50,15,15,False,66.42.115.130,2024-06-20T22:35:13Z,
arparquets.it,5.0,5,1,28,0,True,77.111.241.90,2026-07-01T19:48:06Z,
artichokeyinkpress.com,16.0,0,0,2,0,False,23.226.8.130,2026-03-03T23:47:31Z,
articlement.com,59.0,0,0,4,4,True,172.67.160.66,2025-02-25T20:57:44Z,
articlesblogger.com,51.0,0,0,13,13,True,172.67.167.240,2026-02-02T17:53:35Z,
artinci.com,32.0,9409,1924,1,1,False,23.227.38.74,2025-05-16T02:08:16Z,
arvosteluja24.fi,0.7,75,36,1,1,False,87.233.202.178,2023-06-03T04:38:32Z,
ashthdhatu.com,0.0,0,0,3,3,False,68.66.216.30,2021-08-26T07:27:44Z,
askology.biz,1.5,0,0,2,0,True,104.21.36.162,2026-07-03T07:05:37Z,
aspiration.marketing,54.0,1091,264,5,5,False,172.66.43.42,2026-06-26T18:25:52Z,
athleticinsight.com,48.0,16240,2388,18,16,False,104.26.13.30,2025-11-28T01:35:57Z,
atlasmanhealth.com,0.0,0,0,1,1,False,82.198.229.116,2026-07-30T09:34:18Z,
atlaspainspecialists.com,33.0,6440,1409,1,1,False,137.184.113.64,2025-06-24T09:15:33Z,
atleetzone.com,0.0,0,0,3,3,False,141.98.26.36,2025-05-09T21:53:59Z,
atomizelink.icu,40.0,0,0,5,0,True,195.20.19.178,2026-01-06T10:41:35Z,
atozbacklinks.com,8.0,0,0,1,0,True,203.161.54.114,2026-08-19T15:53:22Z,
atozentherapies.com,44.0,5025,806,1,1,False,34.149.87.45,2025-05-29T06:30:48Z,
attractmorematches.com,29.0,21,31,1,1,False,159.223.200.62,2024-08-02T14:18:47Z,
atualgym.com.br,0.0,0,0,1,1,False,185.77.97.225,2026-07-25T20:14:23Z,
atw.hu,75.0,16023,4082,2,0,False,88.151.96.4,2024-10-13T15:37:28Z,
aussieloves.com,0.0,0,0,12,4,False,172.96.186.211,2024-09-03T15:45:31Z,
authentic-seoexpress-keyword-firm.store,32.0,0,0,1,0,True,172.67.177.212,2026-05-19T16:12:02Z,
authentic-tier-1-partners-seoexpress.store,32.0,0,0,1,0,True,172.67.216.177,2026-05-17T19:45:03Z,
authority-do-follow-and-do-follow-network.store,32.0,0,0,1,0,True,172.67.141.79,2026-08-08T18:29:38Z,
authoritybacklinks.shop,54.0,0,0,4,0,True,104.21.69.138,2026-05-09T18:51:49Z,
authorityprodirectory.com,13.0,0,0,2,2,True,213.199.63.182,2025-10-23T23:49:52Z,
autismconnect.com,43.0,929,426,1,1,False,85.187.138.131,2025-07-13T17:34:03Z,
automaned.com,1.8,0,0,2,0,False,192.0.78.200,2026-03-05T01:40:32Z,
avgms.co.za,28.0,4634,1281,1,1,False,45.60.87.28,2026-06-19T08:17:41Z,
awarelogics.com,0.0,0,0,8,0,False,132.148.229.232,2024-07-10T00:52:54Z,
