domain,domain_rating,traffic_domain,links_to_target,dofollow_links,is_spam,ip_source
seo-anomaly-top-147.xyz,0.0,0,15,0,1,104.21.34.210
get-blogging.com,46.0,0,14,14,1,172.67.128.247
reelmind.ai,52.0,0,14,14,1,216.150.1.1
simplygaurav.com,8.0,0,14,0,1,107.180.40.21
betterlife.com,13.0,581,14,14,1,54.80.207.214
uzblog.net,49.0,1,14,14,1,172.67.187.139
theideasblog.com,46.0,0,14,14,1,172.67.140.18
idealnet.com.hk,4.1,0,13,0,1,223.197.174.21
theblogfairy.com,45.0,0,13,13,1,104.21.60.183
spintheblog.com,45.0,0,13,13,1,172.67.196.132
articlesblogger.com,51.0,0,13,13,1,172.67.167.240
blogaritma.com,42.0,0,13,13,1,172.67.194.103
ageeksblog.com,43.0,0,13,13,1,104.21.83.197
seo-anomaly-top-150.xyz,0.0,0,13,0,1,172.67.180.86
nhdtlogs.com,10.0,0,13,0,1,103.37.60.211
ratingkey.com,0.7,0,12,0,1,172.67.206.24
collectblogs.com,48.0,0,12,12,1,172.67.190.18
bloggazzo.com,44.0,0,12,12,1,104.21.69.217
worldvegan.co.uk,0.0,0,12,12,1,104.21.79.156
nuekin.com,4.3,0,12,0,1,46.4.222.215
btch.bg,14.0,0,12,0,1,78.46.135.40
blogzag.com,51.0,0,12,12,1,104.21.77.143
blogerreviewers.com,0.0,0,12,12,1,172.67.215.250
ivasdesign.com,46.0,0,12,12,1,104.21.49.32
dbblog.net,54.0,0,12,12,1,104.21.2.156
blogofchange.com,46.0,0,12,12,1,104.21.24.158
timeblog.net,47.0,0,11,11,1,172.67.177.134
thechapblog.com,42.0,0,11,11,1,172.67.187.37
blogthisbiz.com,48.0,0,11,11,1,104.21.18.63
backlinksplace.site,52.0,0,11,0,1,172.67.187.14
botrond.com,0.3,0,11,0,1,47.112.15.21
blogprodesign.com,46.0,0,10,10,1,172.67.176.2
blogitright.com,43.0,0,10,10,1,104.21.81.239
review-blogger.com,47.0,0,10,10,1,104.21.15.199
vidublog.com,42.0,0,10,10,1,172.67.169.129
helpdementia.com,14.0,0,10,10,1,104.21.1.203
luftsi.info,0.0,0,10,8,1,34.150.90.246
blogsidea.com,47.0,0,10,10,1,172.67.188.40
rbexcellentairportservicesinc.ca,13.0,5,10,0,1,173.201.181.184
jiliblog.com,51.0,0,9,9,1,172.67.164.205
bloggadores.com,44.0,0,9,9,1,104.21.5.118
byteshort.xyz,41.0,0,9,0,1,195.20.19.178
blogars.com,40.0,0,9,9,1,172.67.159.251
blog5star.com,48.0,0,9,9,1,172.67.171.115
cidadetoda.com.br,1.9,0,9,0,1,104.21.52.149
cro.media,39.0,644,9,5,1,172.67.73.207
tokka-blog.com,46.0,0,9,9,1,172.67.201.165
is-blog.com,46.0,0,9,9,1,172.67.139.169
quero.party,46.0,0,9,0,1,195.20.19.178
vegan4k.com,8.0,0,8,8,1,104.21.77.41
blogdemls.com,43.0,0,8,8,1,172.67.187.19
alljobs.info,9.0,0,8,8,1,118.139.176.46
violationfunding.com,3.1,0,8,8,1,67.205.0.187
samikshaharmony.com,17.0,0,8,0,1,104.21.48.205
lakefrontmarine.ca,14.0,0,8,0,1,198.12.239.127
wallpapers.pro,2.2,0,8,8,1,118.139.176.46
mbcm.in,8.0,0,8,0,1,148.66.138.156
pagesearch.net,4.5,0,8,8,1,118.139.176.46
healthfitnessregime.com,0.0,0,8,8,1,157.173.214.121
tusblogos.com,47.0,0,8,8,1,104.21.79.7
angelinsblog.com,44.0,0,8,8,1,104.21.14.2
kingranks.com,57.0,0,8,8,1,172.67.139.78
wonvision.com,0.7,0,8,8,1,118.139.176.46
supplement4trial.com,1.5,0,8,8,1,35.220.190.36
yourfitnessxpert.com,0.0,0,8,0,1,132.148.229.232
ycm.info,7.0,0,8,8,1,118.139.176.46
presale-vancouver.ca,9.0,0,8,0,1,72.167.125.79
targetblogs.com,46.0,0,8,8,1,104.21.78.138
indexaward.com,4.5,0,8,8,1,118.139.176.46
tunca.org,4.2,0,8,8,1,118.139.176.46
