Referring Domain,In Semrush Audit,In Ahrefs Live,Current Action,Link-Level Rows (new),Dead/Unreachable Links,Redirect Hosts,Brand-Owned Hop,Ahrefs Traffic,Ahrefs Positions,Ahrefs Follow Links,Ahrefs is_spam,IP,Generated Family
abc-directory.com,True,True,KEEP_AFFILIATE_RETAIN,6,0,performancelabs.com,False,99,90,0,False,104.21.85.40,
abcblogdirectory.com,True,True,DISAVOW,0,0,,False,0,0,4,True,104.21.69.73,
aboutboulder.com,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
aboutyoublog.com,True,False,REVIEW_MANUALLY,10,0,nutropic.com,False,,,0,False,,
abumin.best,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,188.114.97.2,
academia.edu.gt,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,1,3,0,True,129.121.16.216,
academiacentralfitness.com.br,True,True,REVIEW_MANUALLY,0,0,,False,63,58,1,False,34.149.87.45,
academianeuera.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,10,8,4,False,23.227.38.65,
academicsbook.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,665,193,1,False,104.21.16.233,
academicsongs.com,True,False,REVIEW_MANUALLY,3,3,testolabpro.com,True,,,0,False,,
accessnewswire.com,True,False,KEEP_AFFILIATE_RETAIN,5,0,pr.report,False,,,0,False,,
accio.com,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,295601,81074,0,False,18.245.187.58,
acelb.co,True,False,KEEP_AFFILIATE_RETAIN,6,0,,False,,,0,False,,
achievedomains.com,True,True,DISAVOW,1,0,,False,0,0,0,False,118.139.181.255,
acneadvocate.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,0,0,3,False,104.21.21.153,
aconsciouscollection.com,True,True,KEEP_AFFILIATE_RETAIN,2,2,,False,0,0,2,False,35.213.175.22,
acquaintsoft.com,False,True,NOT_AUDITED,0,0,,False,4839,684,1,False,172.67.198.137,
acquire.co.in,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,92.249.46.138,
activablog.com,False,True,NOT_AUDITED,0,0,,False,0,0,25,True,172.67.135.97,
activatemerchant.com,True,False,REVIEW_MANUALLY,0,0,,False,,,0,False,,
active.com,True,True,KEEP_AFFILIATE_RETAIN,32,0,securelinksdirectory.com,False,105044,7874,0,False,23.223.123.49,
activeshop.shop,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.183.33,
activoblog.com,True,True,DISAVOW,18,1,nutropic.com,False,3,2,8,False,104.21.65.65,
activosblog.com,True,True,DISAVOW,18,0,nutropic.com,False,73,44,32,False,172.67.135.47,
actoblog.com,False,True,NOT_AUDITED,0,0,,False,0,0,7,True,104.21.61.229,
actualized.org,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,4428,2342,0,False,191.101.30.69,
adcreativevideo.com,True,False,REVIEW_MANUALLY,0,0,,False,,,0,False,,
add-coffee.com,False,True,NOT_AUDITED,0,0,,False,183,97,1,False,183.181.97.27,
adddirectoryurl.com,True,True,DISAVOW,1,0,,False,0,0,4,True,172.67.143.115,
adderalladdictionsupport.com,True,False,KEEP_AFFILIATE_RETAIN,1,1,braceypharmacy.com,False,,,0,False,,
addictedhub.org,False,True,NOT_AUDITED,0,0,,False,0,0,2,False,195.200.9.12,
addondirectory.com,True,False,DISAVOW,1,0,,False,,,0,False,,
addurl-directory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,172.67.157.15,
addurl.in,False,True,NOT_AUDITED,0,0,,False,0,10,0,False,92.249.46.138,
addurl.pro,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
addurl.pw,True,False,REVIEW_MANUALLY,1,0,,False,,,0,False,,
adirectoryplace.com,True,True,DISAVOW,2,0,,False,0,0,4,True,104.21.31.234,
adirectorysubmit.com,True,True,DISAVOW,2,0,,False,0,0,4,True,104.21.46.152,
adlerakademie.de,True,False,REVIEW_MANUALLY,1,0,,False,,,0,False,,
admin-junkies.com,True,False,KEEP_AFFILIATE_RETAIN,0,0,,False,,,0,False,,
adryenn.com,True,True,REVIEW_MANUALLY,1,0,,False,0,0,1,False,89.116.109.223,
advanced-keyword-group-seoexpress.store,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,104.21.31.188,
advanced-link-building-group-seoexpress.store,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.192.186,
advanced-ranking-seoexpress-specialists.store,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.213.21,
