ascore;domains_num
0;8
2;152
3;20
4;16
5;11
6;17
7;1
8;5
9;2
10;2
11;1
12;7
13;2
14;2
15;1
16;2
17;4
18;4
19;1
21;1
22;2
23;3
24;2
25;1
26;2
27;3
28;2
30;3
31;1
32;1
33;2
34;2
35;1
36;2
37;3
40;2
45;1
47;1
51;1
55;1
57;1
58;1
59;1
68;1
94;1
