zone;domains_num;backlinks_num
com;617;5044
uk;90;1811
net;32;58
org;31;47
in;14;19
shop;12;14
app;7;7
info;7;9
pro;6;8
dev;6;7
online;6;9
top;5;6
co;4;5
site;4;4
art;3;3
io;3;3
sbs;3;11
space;3;6
cv;3;4
eu;2;3
news;2;7
website;2;3
biz;2;2
monster;2;4
id;2;2
wiki;2;2
pk;1;1
au;1;1
za;1;1
click;1;1
