zone;domains_num;backlinks_num
com;442;14072
uk;77;917
shop;36;159
org;26;8769
net;18;31592
site;18;98
online;17;118
info;17;45
dev;16;32
in;15;59
link;8;8
pro;6;40
top;6;63
eu;6;18402
jp;4;40
kr;4;18
app;4;4
ru;4;642
de;4;26
cv;3;14
fr;3;8
art;3;12
sbs;3;112
space;3;19
click;2;16
website;2;41
biz;2;5
ua;2;19
co;2;6
tr;2;2
