zone;domains_num;backlinks_num
com;1097;2302
uk;332;1937
org;69;240
net;48;839
shop;19;41
online;15;29
in;14;48
info;11;41
pro;7;35
co;7;11
io;7;10
top;7;24
dev;6;12
site;5;11
space;4;17
eu;4;10
app;3;4
art;3;9
au;3;4
sbs;3;45
cv;3;12
ng;3;16
biz;2;7
today;2;2
monster;2;23
website;2;20
ro;2;2
news;2;7
store;2;21
id;2;2
