ascore;domains_num
0;14
2;383
3;38
4;60
5;54
6;42
7;15
8;8
9;11
10;4
11;5
12;8
13;5
14;6
15;3
16;3
17;6
18;8
19;8
20;5
21;5
22;5
23;2
24;6
25;7
26;8
27;6
28;6
29;3
30;9
31;3
32;6
33;4
34;3
35;3
37;3
38;2
40;2
41;7
42;3
44;1
45;4
46;1
47;1
48;1
49;3
50;2
51;1
52;1
53;2
56;1
58;1
59;1
60;1
61;1
63;2
64;1
65;1
67;1
73;2
75;1
76;1
80;1
100;5
