zone;domains_num;backlinks_num
uk;729;10602
com;689;4468
org;107;2689
xyz;52;148
net;38;122
info;17;49
in;15;41
scot;14;91
online;11;28
pro;10;30
cymru;9;158
dev;9;21
shop;9;26
io;8;21
wales;8;108
au;8;14
co;7;28
top;7;97
site;6;10
news;6;35
today;5;12
live;5;9
ru;5;9
it;4;12
ie;4;12
space;4;10
eu;4;15
de;4;9
nl;4;6
blog;3;8
