ascore;domains_num
0;10
2;396
3;38
4;44
5;29
6;37
7;8
8;8
9;8
10;8
11;2
12;6
13;11
14;5
15;2
16;6
17;3
18;7
19;6
20;9
21;10
22;6
23;9
24;13
25;10
26;7
27;11
28;13
29;13
30;5
31;10
32;10
33;2
34;6
35;4
37;3
38;2
39;2
40;1
41;3
42;2
44;2
45;3
48;4
49;1
50;1
54;1
55;1
58;3
64;2
67;3
68;2
72;1
74;1
75;1
77;1
78;1
81;1
86;1
91;1
100;5
