zone;domains_num;backlinks_num
com;221;627
uk;74;800
shop;13;14
org;11;35
online;11;12
net;7;87
top;6;9
info;6;8
dev;6;7
pro;5;7
site;4;8
au;4;5
eu;3;3
sbs;3;12
co;3;5
in;3;6
today;2;2
website;2;5
space;2;3
live;2;6
store;2;6
news;2;2
monster;2;9
fm;2;3
app;2;2
my;1;2
cfd;1;9
cv;1;2
je;1;1
za;1;1
