ascore;domains_num
0;4
2;191
3;22
4;44
5;70
6;58
7;6
8;8
9;7
10;3
11;9
12;17
13;19
14;14
15;8
16;16
17;12
18;7
19;17
20;26
21;25
22;17
23;19
24;21
25;18
26;16
27;18
28;15
29;19
30;9
31;21
32;15
33;5
34;13
35;11
36;2
37;3
38;1
39;1
40;3
41;1
42;1
43;2
44;2
46;3
47;1
49;2
55;1
56;1
61;1
63;1
78;1
100;2
