zone;domains_num;backlinks_num
com;347;1181
uk;128;229
org;23;36
net;17;44
in;12;16
online;7;7
shop;6;8
info;6;9
site;6;6
pro;4;7
monster;3;8
living;3;3
cv;3;4
dev;3;3
id;3;4
art;3;3
co;3;4
sbs;3;8
website;2;2
click;2;3
forum;2;2
quest;2;2
ai;2;2
eu;2;2
pl;2;8
bond;2;2
lifestyle;2;2
space;2;3
cfd;2;5
pk;1;1
