zone;domains_num;backlinks_num
com;393;3471
uk;112;714
shop;52;137
org;31;549
info;23;125
net;20;87
link;19;21
in;17;191
site;15;43
online;13;62
pro;11;114
dev;10;27
top;6;104
io;5;15
eu;4;38
ai;4;6
cz;4;5
space;4;57
sbs;3;187
cv;3;47
art;3;40
monster;2;82
lc;2;40
website;2;56
pl;2;7
ro;2;3
id;2;2
lt;2;4
live;2;4
nl;1;2
