zone;domains_num;backlinks_num
com;133;573
uk;38;438
in;14;27
org;12;41
shop;11;13
net;10;20
info;10;21
online;7;8
pro;6;16
top;6;12
link;4;4
dev;4;4
space;4;15
eu;4;8
art;3;4
co;3;10
website;3;6
cv;3;5
sbs;3;7
monster;2;3
store;2;3
social;1;1
world;1;2
report;1;1
fr;1;1
site;1;1
party;1;2
pt;1;1
cloud;1;2
bz;1;1
