zone;domains_num;backlinks_num
com;590;700
uk;82;236
org;28;33
net;23;42
dev;14;16
shop;8;9
top;6;11
online;6;6
live;5;5
pro;3;3
sbs;3;5
eu;3;4
site;3;3
app;3;3
info;3;5
id;2;2
co;2;3
website;2;2
au;2;3
monster;2;4
news;2;5
in;2;2
today;1;1
wiki;1;2
pk;1;1
club;1;1
de;1;1
it;1;1
za;1;1
world;1;1
