ascore;domains_num
0;11
2;332
3;44
4;86
5;117
6;84
7;12
8;19
9;14
10;15
11;23
12;26
13;26
14;30
15;20
16;36
17;29
18;42
19;42
20;41
21;50
22;38
23;33
24;43
25;33
26;37
27;46
28;38
29;37
30;40
31;44
32;31
33;27
34;23
35;19
36;9
37;13
38;8
39;13
40;12
41;13
42;5
43;8
44;5
45;4
46;4
47;7
48;2
49;2
50;2
51;2
52;4
53;1
54;1
56;2
57;2
58;1
59;1
60;1
65;1
66;2
69;2
70;1
71;1
72;2
73;4
74;1
75;1
78;2
80;1
84;1
85;1
87;1
100;4
