domain,ascore,backlinks,ip,ip_shared_count,country,first_seen,last_seen,current_verdict,reasons
landscape.directory,13,1,104.21.51.74,1,,2026-04-01,2026-08-21,TOXIC,directory/article/bookmark-spam-name
addresspage.com,12,2,172.67.151.92,1,,2026-06-18,2026-06-18,TOXIC,no strong signal — human QA
swipenow.com,9,2,148.72.27.147,1,us,2025-09-19,2026-04-21,TOXIC,no strong signal — human QA
contractorsjunction.com,6,1,132.148.248.252,1,us,2026-03-30,2026-08-16,TOXIC,very-low-authority(AS6); weak signal — human QA
findlocalcenter.com,6,2,69.13.185.198,1,us,2026-03-01,2026-09-04,TOXIC,pbn-ip-cluster:69.13.185; very-low-authority(AS6)
webranksite.com,6,2,172.67.171.105,1,,2026-03-06,2026-08-31,TOXIC,very-low-authority(AS6); seo/link-scheme-name
m98ufa.com,5,4,172.67.170.144,1,,2026-08-28,2026-08-30,TOXIC,very-low-authority(AS5); high-risk-vertical(gambling/adult/pharma/essay)
worldlinksites.com,5,1,104.21.11.111,1,,2026-03-02,2026-08-28,TOXIC,very-low-authority(AS5); weak signal — human QA
onlinearticlesdirectories.com,4,1,69.13.181.201,1,us,2026-03-01,2026-04-10,TOXIC,pbn-ip-cluster:69.13.181; very-low-authority(AS4); directory/article/bookmark-spam-name
civiltej.com,3,2,108.181.242.144,1,us,2026-03-02,2026-09-02,TOXIC,very-low-authority(AS3); weak signal — human QA
wecelebrities.com,3,3,172.67.199.73,1,,2026-09-02,2026-09-02,TOXIC,very-low-authority(AS3); weak signal — human QA
247directory.org,2,1,188.114.251.4,1,se,2026-03-04,2026-04-13,TOXIC,pbn-ip-cluster:188.114.251; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
ackoona.org,2,2,64.182.245.195,1,us,2026-03-05,2026-09-03,TOXIC,pbn-ip-cluster:64.182.245; very-low-authority(AS2)
anewdirectory.org,2,3,64.182.12.12,1,us,2026-03-02,2026-04-11,TOXIC,pbn-ip-cluster:64.182.12; very-low-authority(AS2); directory/article/bookmark-spam-name
articlesplacesonline.com,2,1,185.39.139.53,1,se,2026-03-03,2026-03-24,TOXIC,pbn-ip-cluster:185.39.139; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
bestbizofweb.com,2,2,64.182.15.98,1,us,2026-03-05,2026-04-14,TOXIC,pbn-ip-cluster:64.182.15; very-low-authority(AS2)
biztrophy.org,2,2,64.182.58.202,1,us,2026-03-05,2026-04-14,TOXIC,pbn-ip-cluster:64.182.58; very-low-authority(AS2)
bsocialtoday.com,2,3,64.182.179.201,1,us,2026-03-04,2026-04-13,TOXIC,pbn-ip-cluster:64.182.179; very-low-authority(AS2)
businessresource.co,2,2,64.182.173.21,1,us,2026-02-13,2026-04-15,TOXIC,pbn-ip-cluster:64.182.173; very-low-authority(AS2)
contentfreelance.org,2,2,94.46.117.71,1,se,2026-02-28,2026-04-13,TOXIC,pbn-ip-cluster:94.46.117; very-low-authority(AS2); foreign-geo-cluster(se)
dirbull.org,2,2,64.182.39.112,1,us,2026-03-06,2026-04-04,TOXIC,pbn-ip-cluster:64.182.39; very-low-authority(AS2)
directorymart.net,2,2,69.13.35.240,1,us,2026-03-02,2026-08-19,TOXIC,pbn-ip-cluster:69.13.35; very-low-authority(AS2); directory/article/bookmark-spam-name
directoryselected.com,2,1,94.46.248.4,1,se,2026-02-26,2026-04-07,TOXIC,pbn-ip-cluster:94.46.248; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
dynamiclist.net,2,1,69.13.46.32,1,us,2026-08-10,2026-08-27,TOXIC,pbn-ip-cluster:69.13.46; very-low-authority(AS2)
elitesites.co,2,2,64.182.52.97,1,us,2026-02-27,2026-04-09,TOXIC,pbn-ip-cluster:64.182.52; very-low-authority(AS2)
fashionclothingnews.com,2,4,172.67.156.33,1,,2026-08-27,2026-09-04,TOXIC,very-low-authority(AS2); weak signal — human QA
findingu.org,2,2,64.182.66.98,1,us,2026-03-18,2026-04-07,TOXIC,pbn-ip-cluster:64.182.66; very-low-authority(AS2)
getbusinessedge.com,2,2,69.13.227.18,1,us,2026-08-10,2026-08-27,TOXIC,pbn-ip-cluster:69.13.227; very-low-authority(AS2)
gimpsy.biz,2,2,64.182.71.96,1,us,2026-02-27,2026-04-08,TOXIC,pbn-ip-cluster:64.182.71; very-low-authority(AS2)
gotozip.org,2,2,69.13.67.16,1,us,2026-02-28,2026-08-29,TOXIC,pbn-ip-cluster:69.13.67; very-low-authority(AS2)
hotpages.co,2,1,188.114.229.51,1,se,2026-03-10,2026-04-19,TOXIC,pbn-ip-cluster:188.114.229; very-low-authority(AS2); foreign-geo-cluster(se)
ivcfddhbsa.blogspot.com,2,1,192.178.218.132,1,us,2026-03-13,2026-03-16,TOXIC,very-low-authority(AS2); weak signal — human QA
listinger.net,2,2,69.13.248.84,1,us,2026-03-04,2026-08-27,TOXIC,pbn-ip-cluster:69.13.248; very-low-authority(AS2); directory/article/bookmark-spam-name
listingsspot.com,2,2,69.13.90.101,1,us,2026-02-26,2026-09-01,TOXIC,pbn-ip-cluster:69.13.90; very-low-authority(AS2); directory/article/bookmark-spam-name
localbizsphere.com,2,2,51.81.59.247,1,us,2026-02-27,2026-04-13,TOXIC,very-low-authority(AS2); weak signal — human QA
localpagesdirectory.com,2,2,69.13.102.10,1,us,2026-03-11,2026-08-21,TOXIC,pbn-ip-cluster:69.13.102; very-low-authority(AS2); directory/article/bookmark-spam-name
lookupdata.org,2,2,69.13.106.17,1,us,2026-03-01,2026-08-27,TOXIC,pbn-ip-cluster:69.13.106; very-low-authority(AS2)
masihnyata.com,2,4,172.67.149.19,1,,2026-08-26,2026-08-30,TOXIC,very-low-authority(AS2); weak signal — human QA
notzia.com,2,2,69.13.110.10,1,us,2026-03-11,2026-08-21,TOXIC,pbn-ip-cluster:69.13.110; very-low-authority(AS2)
onlinelocalbrand.com,2,1,185.163.16.3,1,us,2026-03-07,2026-03-28,TOXIC,very-low-authority(AS2); weak signal — human QA
plurio.shop,2,1,104.21.79.128,1,,2026-08-25,2026-08-25,TOXIC,very-low-authority(AS2); spam-tld(.shop); weak signal — human QA
probusinessworld.com,2,2,64.182.142.44,1,us,2026-03-15,2026-08-29,TOXIC,pbn-ip-cluster:64.182.142; very-low-authority(AS2)
realtalkaj.me,2,1,192.0.78.25,1,us,2026-02-28,2026-07-05,TOXIC,very-low-authority(AS2); weak signal — human QA
scrubthenet.co,2,3,64.182.169.26,1,us,2026-02-28,2026-04-11,TOXIC,pbn-ip-cluster:64.182.169; very-low-authority(AS2)
seohitz.net,2,2,69.13.195.33,1,us,2026-03-19,2026-04-08,TOXIC,pbn-ip-cluster:69.13.195; very-low-authority(AS2); seo/link-scheme-name
siteselect.org,2,2,64.182.199.106,1,us,2026-02-25,2026-04-14,TOXIC,pbn-ip-cluster:64.182.199; very-low-authority(AS2)
smashlistings.com,2,2,69.13.138.90,1,us,2026-03-01,2026-08-27,TOXIC,pbn-ip-cluster:69.13.138; very-low-authority(AS2); directory/article/bookmark-spam-name
spotjournal.info,2,1,94.46.56.74,1,se,2026-03-12,2026-04-22,TOXIC,pbn-ip-cluster:94.46.56; very-low-authority(AS2); foreign-geo-cluster(se)
storebusinesslistings.com,2,1,94.46.51.11,1,se,2026-03-15,2026-04-12,TOXIC,pbn-ip-cluster:94.46.51; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
