domain,ascore,backlinks,ip,ip_shared_count,country,first_seen,last_seen,current_verdict,reasons
loginslink.com,24,4,104.26.12.144,1,,2025-08-20,2026-09-03,TOXIC,recognized legitimate platform (neutral-authority)
intently.co,13,1,67.227.198.170,1,us,2026-03-13,2026-03-13,TOXIC,no strong signal — human QA
southfwb.com,12,1,104.21.16.20,1,,2026-08-27,2026-08-27,TOXIC,no strong signal — human QA
safebizlistings.com,8,4,18.117.203.238,1,us,2026-02-21,2026-06-16,TOXIC,directory/article/bookmark-spam-name
developmentmi.com,6,2,104.21.89.233,1,,2026-03-16,2026-07-16,TOXIC,very-low-authority(AS6); weak signal — human QA
listingly.net,6,1,188.114.254.48,1,se,2026-03-13,2026-04-03,TOXIC,pbn-ip-cluster:188.114.254; very-low-authority(AS6); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
findabusinessthat.com,5,2,172.67.146.82,1,,2026-04-06,2026-04-17,TOXIC,very-low-authority(AS5); weak signal — human QA
ranksarticle.com,5,1,104.21.85.43,1,,2026-03-07,2026-08-28,TOXIC,very-low-authority(AS5); directory/article/bookmark-spam-name
animalstart.com,4,10,172.67.209.131,1,,2025-10-02,2026-08-05,TOXIC,very-low-authority(AS4); weak signal — human QA
webcongress.co,4,2,64.182.230.200,1,us,2026-03-09,2026-04-18,TOXIC,pbn-ip-cluster:64.182.230; very-low-authority(AS4)
seodomains.website,3,20,104.21.53.116,1,,2026-03-17,2026-08-19,TOXIC,very-low-authority(AS3); seo/link-scheme-name; spam-tld(.website)
gladeflowers.com,2,3,104.21.74.93,1,,2026-08-24,2026-08-24,TOXIC,very-low-authority(AS2); weak signal — human QA
a1bizdirectori.com,2,2,64.182.198.200,1,us,2026-02-26,2026-04-07,TOXIC,pbn-ip-cluster:64.182.198; very-low-authority(AS2); directory/article/bookmark-spam-name
alistweb.org,2,2,64.182.10.49,1,us,2026-02-26,2026-04-08,TOXIC,pbn-ip-cluster:64.182.10; very-low-authority(AS2)
article-goal.com,2,2,185.41.88.45,1,se,2025-08-29,2026-08-23,TOXIC,pbn-ip-cluster:185.41.88; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
ateliereleaurorei.ro,2,1,172.67.203.169,1,,2026-03-13,2026-05-02,TOXIC,very-low-authority(AS2); weak signal — human QA
bestofbusinesslistings.com,2,1,94.46.11.50,1,se,2026-02-24,2026-03-26,TOXIC,pbn-ip-cluster:94.46.11; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
bluecantera.com,2,4,192.169.172.129,1,us,2026-03-01,2026-04-22,TOXIC,very-low-authority(AS2); weak signal — human QA
businesslistinghunt.com,2,1,185.51.146.26,1,se,2026-03-15,2026-04-04,TOXIC,pbn-ip-cluster:185.51.146; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
clifflisting.com,2,4,104.21.37.116,1,,2026-08-23,2026-08-31,TOXIC,very-low-authority(AS2); directory/article/bookmark-spam-name
decoratingnerds.com,2,1,172.67.144.130,1,,2025-06-17,2026-07-04,TOXIC,very-low-authority(AS2); weak signal — human QA
directory-factory-33s.pages.dev,2,1,172.66.46.249,1,,2026-06-09,2026-08-07,TOXIC,very-low-authority(AS2); directory/article/bookmark-spam-name
directoryology.com,2,1,69.13.252.105,1,us,2026-08-10,2026-08-28,TOXIC,pbn-ip-cluster:69.13.252; very-low-authority(AS2); directory/article/bookmark-spam-name
directoryspoke.org,2,2,69.13.41.216,1,us,2026-03-01,2026-08-19,TOXIC,pbn-ip-cluster:69.13.41; very-low-authority(AS2); directory/article/bookmark-spam-name
edirectori.net,2,3,64.182.54.51,1,us,2026-03-05,2026-04-15,TOXIC,pbn-ip-cluster:64.182.54; very-low-authority(AS2); directory/article/bookmark-spam-name
expertschoice.net,2,3,64.182.57.233,1,us,2026-03-08,2026-04-08,TOXIC,pbn-ip-cluster:64.182.57; very-low-authority(AS2)
favoritedirectoree.com,2,2,64.182.67.9,1,us,2026-02-15,2026-04-17,TOXIC,pbn-ip-cluster:64.182.67; very-low-authority(AS2)
