domain,ascore,backlinks,ip,ip_shared_count,country,first_seen,last_seen,current_verdict,reasons
linkcenter.com,16,2,78.129.199.5,1,gb,2026-02-26,2026-07-02,TOXIC,no strong signal — human QA
olivare.com.ar,13,1,104.21.40.229,1,,2026-03-07,2026-03-07,TOXIC,no strong signal — human QA
websitescrawl.com,12,1,68.178.235.175,1,us,2026-04-18,2026-04-18,TOXIC,no strong signal — human QA
southernlanka.lk,7,2,135.181.210.47,1,fi,2025-10-20,2026-03-18,TOXIC,no strong signal — human QA
divisionesmodularesjq.com,6,1,162.215.210.151,1,us,2025-07-18,2026-03-12,TOXIC,very-low-authority(AS6); weak signal — human QA
localinsidernetwork.com,6,2,69.13.235.155,1,us,2026-03-11,2026-08-21,TOXIC,pbn-ip-cluster:69.13.235; very-low-authority(AS6)
findingfarina.com,5,1,145.223.106.169,1,us,2023-10-22,2026-06-17,TOXIC,very-low-authority(AS5); weak signal — human QA
seodirectorysite.com,5,2,104.21.19.15,1,,2026-03-07,2026-09-04,TOXIC,very-low-authority(AS5); seo/link-scheme-name; directory/article/bookmark-spam-name
greattraveladvisor.com,4,1,107.180.2.227,1,us,2026-04-03,2026-08-08,TOXIC,very-low-authority(AS4); weak signal — human QA
weedspots.net,4,2,165.227.88.129,1,us,2026-02-26,2026-08-18,TOXIC,very-low-authority(AS4); weak signal — human QA
seomuda.id,3,1,15.235.188.158,1,sg,2026-03-31,2026-04-29,TOXIC,very-low-authority(AS3); seo/link-scheme-name; spam-tld(.id); foreign-geo-cluster(sg)
littlerocklawnlandscaping.com,2,1,103.148.14.50,1,bd,2026-03-05,2026-09-04,TOXIC,very-low-authority(AS2); foreign-geo-cluster(bd); weak signal — human QA
a2zdirectory.us,2,3,64.182.16.53,1,us,2026-02-25,2026-04-07,TOXIC,pbn-ip-cluster:64.182.16; very-low-authority(AS2); directory/article/bookmark-spam-name
allbusinessadvisor.com,2,2,69.13.189.101,1,us,2026-03-05,2026-08-27,TOXIC,pbn-ip-cluster:69.13.189; very-low-authority(AS2)
articles-place.com,2,2,94.46.119.94,1,se,2026-03-04,2026-04-25,TOXIC,pbn-ip-cluster:94.46.119; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
authoritylistings.com,2,2,69.13.144.14,1,us,2026-03-14,2026-04-12,TOXIC,pbn-ip-cluster:69.13.144; very-low-authority(AS2); directory/article/bookmark-spam-name
bizcopia.org,2,3,64.182.18.211,1,us,2026-03-09,2026-04-18,TOXIC,pbn-ip-cluster:64.182.18; very-low-authority(AS2)
bookmarkhaven.com,2,7,64.182.1.49,1,us,2026-03-06,2026-07-22,TOXIC,pbn-ip-cluster:64.182.1; very-low-authority(AS2); directory/article/bookmark-spam-name
businesslistingsfinder.com,2,1,94.46.55.3,1,se,2026-03-24,2026-04-22,TOXIC,pbn-ip-cluster:94.46.55; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
companyclassified.com,2,1,188.114.232.53,1,se,2026-03-08,2026-04-18,TOXIC,pbn-ip-cluster:188.114.232; very-low-authority(AS2); foreign-geo-cluster(se)
demandbusinesses.com,2,2,69.13.25.218,1,us,2026-03-06,2026-09-01,TOXIC,pbn-ip-cluster:69.13.25; very-low-authority(AS2)
