domain,ascore,backlinks,ip,ip_shared_count,country,first_seen,last_seen,current_verdict,reasons
vangvela.com,16,1,195.35.60.128,1,us,2025-08-15,2026-04-10,TOXIC,no strong signal — human QA
resonancelabjo.com,13,1,160.153.133.225,1,us,2026-02-22,2026-03-14,TOXIC,no strong signal — human QA
thenllc.ca,10,2,156.67.77.68,1,us,2025-04-25,2026-06-07,TOXIC,no strong signal — human QA
wealthyoverview.com,7,1,172.67.130.236,1,,2026-03-15,2026-08-21,TOXIC,no strong signal — human QA
eurekster.com,6,122,170.9.240.198,1,us,2025-01-14,2026-08-28,TOXIC,very-low-authority(AS6); weak signal — human QA
usapridenetwork.us,6,1,172.67.179.136,1,,2026-03-16,2026-08-25,TOXIC,very-low-authority(AS6); weak signal — human QA
listingpro.info,5,2,69.13.84.48,1,us,2026-03-13,2026-08-23,TOXIC,pbn-ip-cluster:69.13.84; very-low-authority(AS5); directory/article/bookmark-spam-name
toplinksdirectory.com,5,1,104.21.43.6,1,,2026-03-18,2026-08-28,TOXIC,very-low-authority(AS5); directory/article/bookmark-spam-name
medidocs.com,4,2,72.167.102.111,1,us,2026-03-23,2026-06-05,TOXIC,very-low-authority(AS4); weak signal — human QA
capetownthing.co.za,3,1,69.163.180.195,1,us,2026-03-04,2026-04-19,TOXIC,very-low-authority(AS3); weak signal — human QA
wants.cfd,3,25,104.21.44.63,1,,2026-03-29,2026-08-31,TOXIC,very-low-authority(AS3); spam-tld(.cfd); weak signal — human QA
1866directory.com,2,2,69.13.29.72,1,us,2026-03-12,2026-08-22,TOXIC,pbn-ip-cluster:69.13.29; very-low-authority(AS2); directory/article/bookmark-spam-name
ackonweb.com,2,2,64.182.244.89,1,us,2026-03-03,2026-08-25,TOXIC,pbn-ip-cluster:64.182.244; very-low-authority(AS2)
americanbestbiz.com,2,2,64.182.247.2,1,us,2026-03-15,2026-08-29,TOXIC,pbn-ip-cluster:64.182.247; very-low-authority(AS2)
articlespace.org,2,4,69.13.241.143,1,us,2026-02-17,2026-04-13,TOXIC,pbn-ip-cluster:69.13.241; very-low-authority(AS2); directory/article/bookmark-spam-name
beepdreams.com,2,1,99.192.232.89,1,us,2026-08-24,2026-09-02,TOXIC,very-low-authority(AS2); weak signal — human QA
bizopedia.org,2,3,64.182.19.51,1,us,2026-03-15,2026-04-04,TOXIC,pbn-ip-cluster:64.182.19; very-low-authority(AS2)
bowlisting.com,2,2,64.182.32.52,1,us,2026-03-15,2026-04-04,TOXIC,pbn-ip-cluster:64.182.32; very-low-authority(AS2); directory/article/bookmark-spam-name
businessquest.net,2,1,94.46.60.79,1,se,2026-03-05,2026-04-15,TOXIC,pbn-ip-cluster:94.46.60; very-low-authority(AS2); foreign-geo-cluster(se)
contentfreelance.com,2,1,94.46.116.29,1,se,2026-02-20,2026-04-02,TOXIC,pbn-ip-cluster:94.46.116; very-low-authority(AS2); foreign-geo-cluster(se)
digitbusinesslistings.com,2,1,69.13.26.217,1,us,2026-08-10,2026-08-27,TOXIC,pbn-ip-cluster:69.13.26; very-low-authority(AS2); directory/article/bookmark-spam-name
directoryhop.com,2,2,69.13.33.64,1,us,2026-03-02,2026-08-24,TOXIC,pbn-ip-cluster:69.13.33; very-low-authority(AS2); directory/article/bookmark-spam-name
directorypursuit.com,2,1,69.13.39.9,1,us,2026-08-10,2026-08-27,TOXIC,pbn-ip-cluster:69.13.39; very-low-authority(AS2); directory/article/bookmark-spam-name
dynalistings.com,2,2,69.13.254.23,1,us,2026-03-02,2026-08-16,TOXIC,pbn-ip-cluster:69.13.254; very-low-authority(AS2); directory/article/bookmark-spam-name
elistingz.net,2,2,94.46.143.44,1,se,2026-03-03,2026-04-25,TOXIC,pbn-ip-cluster:94.46.143; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
familyfriendlysites.biz,2,2,69.13.226.77,1,us,2026-02-28,2026-04-09,TOXIC,pbn-ip-cluster:69.13.226; very-low-authority(AS2)
finddirectory.org,2,1,94.46.122.86,1,se,2026-03-05,2026-04-03,TOXIC,pbn-ip-cluster:94.46.122; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
geobizdirectory.com,2,2,51.81.0.71,1,us,2026-02-28,2026-04-14,TOXIC,very-low-authority(AS2); directory/article/bookmark-spam-name
ggmap.us.com,2,3,172.67.211.186,1,,2026-08-31,2026-08-31,TOXIC,very-low-authority(AS2); weak signal — human QA
gotolistings.org,2,2,69.13.66.56,1,us,2026-03-04,2026-08-30,TOXIC,pbn-ip-cluster:69.13.66; very-low-authority(AS2); directory/article/bookmark-spam-name
hotcatalogues.com,2,1,69.13.71.48,1,us,2026-08-10,2026-08-26,TOXIC,pbn-ip-cluster:69.13.71; very-low-authority(AS2)
inspiredirectory.com,2,1,82.102.2.73,1,se,2026-03-09,2026-04-18,TOXIC,very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
listingcenterpro.com,2,2,69.13.83.200,1,us,2026-02-28,2026-08-26,TOXIC,pbn-ip-cluster:69.13.83; very-low-authority(AS2); directory/article/bookmark-spam-name
listingspace.net,2,1,69.13.88.216,1,us,2026-08-09,2026-09-03,TOXIC,pbn-ip-cluster:69.13.88; very-low-authority(AS2); directory/article/bookmark-spam-name
localbizselect.com,2,2,69.13.94.208,1,us,2026-03-08,2026-09-03,TOXIC,pbn-ip-cluster:69.13.94; very-low-authority(AS2)
locallistingz.com,2,1,185.196.36.6,1,se,2026-03-02,2026-04-11,TOXIC,pbn-ip-cluster:185.196.36; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
london-essays.blog,2,2,173.252.167.40,1,us,2026-05-05,2026-06-19,TOXIC,very-low-authority(AS2); high-risk-vertical(gambling/adult/pharma/essay)
marketing4all.us,2,4,188.114.237.36,1,se,2026-03-04,2026-04-16,TOXIC,pbn-ip-cluster:188.114.237; very-low-authority(AS2); foreign-geo-cluster(se)
nextleveldirectory.com,2,1,94.46.46.45,1,se,2026-03-02,2026-04-20,TOXIC,pbn-ip-cluster:94.46.46; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
onlinecompanypages.com,2,2,69.13.156.199,1,us,2026-03-05,2026-08-14,TOXIC,pbn-ip-cluster:69.13.156; very-low-authority(AS2)
pingeras.blogspot.com,2,14,142.251.163.132,1,us,2026-03-17,2026-09-03,TOXIC,very-low-authority(AS2); weak signal — human QA
probusinesshub.co,2,2,69.13.122.17,1,us,2026-03-11,2026-08-30,TOXIC,pbn-ip-cluster:69.13.122; very-low-authority(AS2)
reallistings.net,2,2,69.13.125.49,1,us,2026-03-13,2026-09-01,TOXIC,pbn-ip-cluster:69.13.125; very-low-authority(AS2); directory/article/bookmark-spam-name
sbmain.com,2,2,64.182.168.97,1,us,2026-02-26,2026-04-08,TOXIC,pbn-ip-cluster:64.182.168; very-low-authority(AS2)
seofriendlydirectory.in,2,2,64.182.194.49,1,us,2026-02-28,2026-04-09,TOXIC,pbn-ip-cluster:64.182.194; very-low-authority(AS2); seo/link-scheme-name; directory/article/bookmark-spam-name
simplybestbiz.com,2,1,69.13.132.57,1,us,2026-08-10,2026-08-27,TOXIC,pbn-ip-cluster:69.13.132; very-low-authority(AS2)
smartmarketer.today,2,2,188.114.236.77,1,se,2026-03-03,2026-04-28,TOXIC,pbn-ip-cluster:188.114.236; very-low-authority(AS2); foreign-geo-cluster(se)
sportsbikeparts.pk,2,1,172.67.167.23,1,,2026-03-03,2026-03-03,TOXIC,very-low-authority(AS2); weak signal — human QA
staticdirectory.com,2,2,64.182.208.32,1,us,2026-03-04,2026-04-14,TOXIC,pbn-ip-cluster:64.182.208; very-low-authority(AS2); directory/article/bookmark-spam-name
