domain,ascore,backlinks,ip,ip_shared_count,country,first_seen,last_seen,current_verdict,reasons
domainsc.com,2,18,184.168.115.60,8,sg,2026-03-22,2026-08-31,TOXIC,pbn-ip-cluster:184.168.115; very-low-authority(AS2); foreign-geo-cluster(sg)
wallpapers.pro,2,20,118.139.176.46,9,sg,2026-02-27,2026-09-01,TOXIC,pbn-ip-cluster:118.139.176; very-low-authority(AS2); spam-tld(.pro); foreign-geo-cluster(sg)
shortenurls.eu,14,6,195.20.19.178,19,md,2026-06-21,2026-08-31,TOXIC,pbn-ip-cluster:195.20.19; foreign-geo-cluster(md)
creativeposts.top,6,9,195.20.19.178,19,md,2026-05-09,2026-08-28,TOXIC,pbn-ip-cluster:195.20.19; very-low-authority(AS6); spam-tld(.top); foreign-geo-cluster(md)
atomizelink.icu,5,6,195.20.19.178,19,md,2026-03-28,2026-08-30,TOXIC,pbn-ip-cluster:195.20.19; very-low-authority(AS5); spam-tld(.icu); foreign-geo-cluster(md)
businessnewses.com,5,1,159.198.75.134,25,us,2026-02-27,2026-06-16,TOXIC,pbn-ip-cluster:159.198.75; very-low-authority(AS5)
linksnewses.com,5,1,159.198.75.134,25,us,2026-02-20,2026-06-01,TOXIC,pbn-ip-cluster:159.198.75; very-low-authority(AS5)
wayseolinks.com,5,1,159.198.75.134,25,us,2026-02-23,2026-06-05,TOXIC,pbn-ip-cluster:159.198.75; very-low-authority(AS5); seo/link-scheme-name
cheapsmmprovider.online,6,3,118.139.181.85,35,sg,2026-07-10,2026-07-21,TOXIC,pbn-ip-cluster:118.139.181; very-low-authority(AS6); spam-tld(.online); foreign-geo-cluster(sg)
findinfo.in,2,5,118.139.181.85,35,sg,2026-03-20,2026-08-29,TOXIC,pbn-ip-cluster:118.139.181; very-low-authority(AS2); foreign-geo-cluster(sg)
mp3fresh.net,2,5,118.139.181.85,35,sg,2026-02-26,2026-08-23,TOXIC,pbn-ip-cluster:118.139.181; very-low-authority(AS2); foreign-geo-cluster(sg)
themumbai.in,2,5,118.139.181.85,35,sg,2026-04-21,2026-08-31,TOXIC,pbn-ip-cluster:118.139.181; very-low-authority(AS2); foreign-geo-cluster(sg)
webrankindia.com,2,1,118.139.181.85,35,sg,2026-02-08,2026-03-30,TOXIC,pbn-ip-cluster:118.139.181; very-low-authority(AS2); foreign-geo-cluster(sg)
